ds,servers,candidate_1,candidate_2,candidate_3
2023-05-20 00:03:17,5,7,0,0
2023-05-20 00:08:17,5,7,0,0
2023-05-20 00:13:17,5,7,0,0
2023-05-20 00:18:17,5,7,0,0
2023-05-20 00:23:17,5,7,0,0
2023-05-20 00:28:17,5,7,0,0
2023-05-20 00:33:17,5,7,0,0
2023-05-20 00:38:17,5,7,0,0
2023-05-20 00:43:17,5,8,0,0
2023-05-20 00:48:17,5,8,0,0
2023-05-20 00:53:17,5,8,0,0
2023-05-20 00:58:17,6,8,0,0
2023-05-20 01:03:17,6,8,0,0
2023-05-20 01:08:17,6,8,0,0
2023-05-20 01:13:17,6,8,0,0
2023-05-20 01:18:17,6,9,0,0
2023-05-20 01:23:17,6,9,0,0
2023-05-20 01:28:17,6,9,0,0
2023-05-20 01:33:17,6,9,0,0
2023-05-20 01:38:17,6,9,0,0
2023-05-20 01:43:17,6,9,0,0
2023-05-20 01:48:17,6,9,0,0
2023-05-20 01:53:17,6,9,0,0
2023-05-20 01:58:17,6,9,0,0
2023-05-20 02:03:17,7,10,0,0
2023-05-20 02:08:17,7,10,0,0
2023-05-20 02:13:17,7,10,0,0
2023-05-20 02:18:17,7,10,0,0
2023-05-20 02:23:17,7,10,0,0
2023-05-20 02:28:17,7,10,0,0
2023-05-20 02:33:17,7,10,0,0
2023-05-20 02:38:17,7,10,0,0
2023-05-20 02:43:17,7,10,0,0
2023-05-20 02:48:17,7,11,0,0
2023-05-20 02:53:17,7,11,0,0
2023-05-20 02:58:17,7,11,0,0
2023-05-20 03:03:17,7,11,0,0
2023-05-20 03:08:17,7,11,0,0
2023-05-20 03:13:17,7,11,0,0
2023-05-20 03:18:17,8,11,0,0
2023-05-20 03:23:17,8,11,0,0
2023-05-20 03:28:17,8,11,0,0
2023-05-20 03:33:17,8,11,0,0
2023-05-20 03:38:17,8,11,0,0
2023-05-20 03:43:17,8,11,0,0
2023-05-20 03:48:17,8,12,0,0
2023-05-20 03:53:17,8,12,0,0
2023-05-20 03:58:17,8,12,0,0
2023-05-20 04:03:17,8,12,0,0
2023-05-20 04:08:17,8,12,0,0
2023-05-20 04:13:17,8,12,0,0
2023-05-20 04:18:17,8,12,0,0
2023-05-20 04:23:17,8,12,0,0
2023-05-20 04:28:17,8,12,0,0
2023-05-20 04:33:17,8,12,0,0
2023-05-20 04:38:17,8,12,0,0
2023-05-20 04:43:17,8,12,0,0
2023-05-20 04:48:17,8,12,0,0
2023-05-20 04:53:17,8,12,0,0
2023-05-20 04:58:17,8,12,0,0
2023-05-20 05:03:17,8,12,0,0
2023-05-20 05:08:17,8,12,0,0
2023-05-20 05:13:17,8,12,0,0
2023-05-20 05:18:17,8,12,0,0
2023-05-20 05:23:17,8,12,0,0
2023-05-20 05:28:17,8,12,0,0
2023-05-20 05:33:17,8,12,0,0
2023-05-20 05:38:17,8,12,0,0
2023-05-20 05:43:17,8,12,0,0
2023-05-20 05:48:17,8,12,0,0
2023-05-20 05:53:17,8,12,0,0
2023-05-20 05:58:17,8,12,0,0
2023-05-20 06:03:17,8,12,0,0
2023-05-20 06:08:17,8,12,0,0
2023-05-20 06:13:17,8,12,0,0
2023-05-20 06:18:17,8,12,0,0
2023-05-20 06:23:17,8,12,0,0
2023-05-20 06:28:17,8,12,0,0
2023-05-20 06:33:17,8,12,0,0
2023-05-20 06:38:17,8,12,0,0
2023-05-20 06:43:17,8,12,0,0
2023-05-20 06:48:17,8,12,0,0
2023-05-20 06:53:17,8,12,0,0
2023-05-20 06:58:17,8,12,0,0
2023-05-20 07:03:17,8,12,0,0
2023-05-20 07:08:17,8,12,0,0
2023-05-20 07:13:17,8,12,0,0
2023-05-20 07:18:17,8,12,0,0
2023-05-20 07:23:17,8,12,0,0
2023-05-20 07:28:17,8,12,0,0
2023-05-20 07:33:17,8,12,0,0
2023-05-20 07:38:17,8,12,0,0
2023-05-20 07:43:17,8,12,0,0
2023-05-20 07:48:17,8,12,0,0
2023-05-20 07:53:17,8,12,0,0
2023-05-20 07:58:17,8,12,0,0
2023-05-20 08:03:17,8,12,0,0
2023-05-20 08:08:17,8,12,0,0
2023-05-20 08:13:17,8,12,0,0
2023-05-20 08:18:17,8,11,0,0
2023-05-20 08:23:17,8,11,0,0
2023-05-20 08:28:17,8,11,0,0
2023-05-20 08:33:17,8,11,0,0
2023-05-20 08:38:17,8,11,0,0
2023-05-20 08:43:17,8,11,0,0
2023-05-20 08:48:17,7,11,0,0
2023-05-20 08:53:17,7,11,0,0
2023-05-20 08:58:17,7,11,0,0
2023-05-20 09:03:17,7,11,0,0
2023-05-20 09:08:17,7,11,0,0
2023-05-20 09:13:17,7,10,0,0
2023-05-20 09:18:17,7,10,0,0
2023-05-20 09:23:17,7,10,0,0
2023-05-20 09:28:17,7,10,0,0
2023-05-20 09:33:17,7,10,0,0
2023-05-20 09:38:17,7,10,0,0
2023-05-20 09:43:17,7,10,0,0
2023-05-20 09:48:17,7,10,0,0
2023-05-20 09:53:17,7,10,0,0
2023-05-20 09:58:17,7,10,0,0
2023-05-20 10:03:17,6,9,0,0
2023-05-20 10:08:17,6,9,0,0
2023-05-20 10:13:17,6,9,0,0
2023-05-20 10:18:17,6,9,0,0
2023-05-20 10:23:17,6,9,0,0
2023-05-20 10:28:17,6,9,0,0
2023-05-20 10:33:17,6,9,0,0
2023-05-20 10:38:17,6,9,0,0
2023-05-20 10:43:17,6,8,0,0
2023-05-20 10:48:17,6,8,0,0
2023-05-20 10:53:17,6,8,0,0
2023-05-20 10:58:17,6,8,0,0
2023-05-20 11:03:17,5,8,0,0
2023-05-20 11:08:17,5,8,0,0
2023-05-20 11:13:17,5,8,0,0
2023-05-20 11:18:17,5,8,0,0
2023-05-20 11:23:17,5,7,0,0
2023-05-20 11:28:17,5,7,0,0
2023-05-20 11:33:17,5,7,0,0
2023-05-20 11:38:17,5,7,0,0
2023-05-20 11:43:17,5,7,0,0
2023-05-20 11:48:17,5,7,0,0
2023-05-20 11:53:17,5,7,0,0
2023-05-20 11:58:17,5,7,0,0
2023-05-20 12:03:17,4,6,0,0
2023-05-20 12:08:17,4,6,0,0
2023-05-20 12:13:17,4,6,0,0
2023-05-20 12:18:17,4,6,0,0
2023-05-20 12:23:17,4,6,0,0
2023-05-20 12:28:17,4,6,0,0
2023-05-20 12:33:17,4,6,0,0
2023-05-20 12:38:17,4,6,0,0
2023-05-20 12:43:17,4,5,0,0
2023-05-20 12:48:17,4,5,0,0
2023-05-20 12:53:17,4,5,0,0
2023-05-20 12:58:17,3,5,0,0
2023-05-20 13:03:17,3,5,0,0
2023-05-20 13:08:17,3,5,0,0
2023-05-20 13:13:17,3,5,0,0
2023-05-20 13:18:17,3,4,0,0
2023-05-20 13:23:17,3,4,0,0
2023-05-20 13:28:17,3,4,0,0
2023-05-20 13:33:17,3,4,0,0
2023-05-20 13:38:17,3,4,0,0
2023-05-20 13:43:17,3,4,0,0
2023-05-20 13:48:17,3,4,0,0
2023-05-20 13:53:17,3,4,0,0
2023-05-20 13:58:17,3,4,0,0
2023-05-20 14:03:17,2,3,0,0
2023-05-20 14:08:17,2,3,0,0
2023-05-20 14:13:17,2,3,0,0
2023-05-20 14:18:17,2,3,0,0
2023-05-20 14:23:17,2,3,0,0
2023-05-20 14:28:17,2,3,0,0
2023-05-20 14:33:17,2,3,0,0
2023-05-20 14:38:17,2,3,0,0
2023-05-20 14:43:17,2,3,0,0
2023-05-20 14:48:17,2,2,0,0
2023-05-20 14:53:17,2,2,0,0
2023-05-20 14:58:17,2,2,0,0
2023-05-20 15:03:17,2,2,0,0
2023-05-20 15:08:17,2,2,0,0
2023-05-20 15:13:17,2,2,0,0
2023-05-20 15:18:17,1,2,0,0
2023-05-20 15:23:17,1,2,0,0
2023-05-20 15:28:17,1,2,0,0
2023-05-20 15:33:17,1,2,0,0
2023-05-20 15:38:17,1,2,0,0
2023-05-20 15:43:17,1,2,0,0
2023-05-20 15:48:17,1,1,0,0
2023-05-20 15:53:17,1,1,0,0
2023-05-20 15:58:17,1,1,0,0
2023-05-20 16:03:17,1,1,0,0
2023-05-20 16:08:17,1,1,0,0
2023-05-20 16:13:17,1,1,0,0
2023-05-20 16:18:17,1,1,0,0
2023-05-20 16:23:17,1,1,0,0
2023-05-20 16:28:17,1,1,0,0
2023-05-20 16:33:17,1,1,0,0
2023-05-20 16:38:17,1,1,0,0
2023-05-20 16:43:17,1,1,0,0
2023-05-20 16:48:17,1,1,0,0
2023-05-20 16:53:17,1,1,0,0
2023-05-20 16:58:17,1,1,0,0
2023-05-20 17:03:17,1,1,0,0
2023-05-20 17:08:17,1,1,0,0
2023-05-20 17:13:17,1,1,0,0
2023-05-20 17:18:17,1,1,0,0
2023-05-20 17:23:17,1,1,0,0
2023-05-20 17:28:17,1,1,0,0
2023-05-20 17:33:17,1,1,0,0
2023-05-20 17:38:17,1,1,0,0
2023-05-20 17:43:17,1,1,0,0
2023-05-20 17:48:17,1,1,0,0
2023-05-20 17:53:17,1,1,0,0
2023-05-20 17:58:17,1,1,0,0
2023-05-20 18:03:17,1,1,0,0
2023-05-20 18:08:17,1,1,0,0
2023-05-20 18:13:17,1,1,0,0
2023-05-20 18:18:17,1,1,0,0
2023-05-20 18:23:17,1,1,0,0
2023-05-20 18:28:17,1,1,0,0
2023-05-20 18:33:17,1,1,0,0
2023-05-20 18:38:17,1,1,0,0
2023-05-20 18:43:17,1,1,0,0
2023-05-20 18:48:17,1,1,0,0
2023-05-20 18:53:17,1,1,0,0
2023-05-20 18:58:17,1,1,0,0
2023-05-20 19:03:17,1,1,0,0
2023-05-20 19:08:17,1,1,0,0
2023-05-20 19:13:17,1,1,0,0
2023-05-20 19:18:17,1,1,0,0
2023-05-20 19:23:17,1,1,0,0
2023-05-20 19:28:17,1,1,0,0
2023-05-20 19:33:17,1,1,0,0
2023-05-20 19:38:17,1,1,0,0
2023-05-20 19:43:17,1,1,0,0
2023-05-20 19:48:17,1,1,0,0
2023-05-20 19:53:17,1,1,0,0
2023-05-20 19:58:17,1,1,0,0
2023-05-20 20:03:17,1,1,0,0
2023-05-20 20:08:17,1,1,0,0
2023-05-20 20:13:17,1,1,0,0
2023-05-20 20:18:17,1,2,0,0
2023-05-20 20:23:17,1,2,0,0
2023-05-20 20:28:17,1,2,0,0
2023-05-20 20:33:17,1,2,0,0
2023-05-20 20:38:17,1,2,0,0
2023-05-20 20:43:17,1,2,0,0
2023-05-20 20:48:17,2,2,0,0
2023-05-20 20:53:17,2,2,0,0
2023-05-20 20:58:17,2,2,0,0
2023-05-20 21:03:17,2,2,0,0
2023-05-20 21:08:17,2,2,0,0
2023-05-20 21:13:17,2,3,0,0
2023-05-20 21:18:17,2,3,0,0
2023-05-20 21:23:17,2,3,0,0
2023-05-20 21:28:17,2,3,0,0
2023-05-20 21:33:17,2,3,0,0
2023-05-20 21:38:17,2,3,0,0
2023-05-20 21:43:17,2,3,0,0
2023-05-20 21:48:17,2,3,0,0
2023-05-20 21:53:17,2,3,0,0
2023-05-20 21:58:17,2,3,0,0
2023-05-20 22:03:17,3,4,0,0
2023-05-20 22:08:17,3,4,0,0
2023-05-20 22:13:17,3,4,0,0
2023-05-20 22:18:17,3,4,0,0
2023-05-20 22:23:17,3,4,0,0
2023-05-20 22:28:17,3,4,0,0
2023-05-20 22:33:17,3,4,0,0
2023-05-20 22:38:17,3,4,0,0
2023-05-20 22:43:17,3,5,0,0
2023-05-20 22:48:17,3,5,0,0
2023-05-20 22:53:17,3,5,0,0
2023-05-20 22:58:17,3,5,0,0
2023-05-20 23:03:17,4,5,0,0
2023-05-20 23:08:17,4,5,0,0
2023-05-20 23:13:17,4,5,0,0
2023-05-20 23:18:17,4,5,0,0
2023-05-20 23:23:17,4,6,0,0
2023-05-20 23:28:17,4,6,0,0
2023-05-20 23:33:17,4,6,0,0
2023-05-20 23:38:17,4,6,0,0
2023-05-20 23:43:17,4,6,0,0
2023-05-20 23:48:17,4,6,0,0
2023-05-20 23:53:17,4,6,0,0
2023-05-20 23:58:17,4,6,0,0
2023-05-21 00:03:17,5,7,0,0
2023-05-21 00:08:17,5,7,0,0
2023-05-21 00:13:17,5,7,0,0
2023-05-21 00:18:17,5,7,0,0
2023-05-21 00:23:17,5,7,0,0
2023-05-21 00:28:17,5,7,0,0
2023-05-21 00:33:17,5,7,0,0
2023-05-21 00:38:17,5,7,0,0
2023-05-21 00:43:17,5,8,0,0
2023-05-21 00:48:17,5,8,0,0
2023-05-21 00:53:17,5,8,0,0
2023-05-21 00:58:17,6,8,0,0
2023-05-21 01:03:17,6,8,0,0
2023-05-21 01:08:17,6,8,0,0
2023-05-21 01:13:17,6,8,0,0
2023-05-21 01:18:17,6,9,0,0
2023-05-21 01:23:17,6,9,0,0
2023-05-21 01:28:17,6,9,0,0
2023-05-21 01:33:17,6,9,0,0
2023-05-21 01:38:17,6,9,0,0
2023-05-21 01:43:17,6,9,0,0
2023-05-21 01:48:17,6,9,0,0
2023-05-21 01:53:17,6,9,0,0
2023-05-21 01:58:17,6,9,0,0
2023-05-21 02:03:17,7,10,0,0
2023-05-21 02:08:17,7,10,0,0
2023-05-21 02:13:17,7,10,0,0
2023-05-21 02:18:17,7,10,0,0
2023-05-21 02:23:17,7,10,0,0
2023-05-21 02:28:17,7,10,0,0
2023-05-21 02:33:17,7,10,0,0
2023-05-21 02:38:17,7,10,0,0
2023-05-21 02:43:17,7,10,0,0
2023-05-21 02:48:17,7,11,0,0
2023-05-21 02:53:17,7,11,0,0
2023-05-21 02:58:17,7,11,0,0
2023-05-21 03:03:17,7,11,0,0
2023-05-21 03:08:17,7,11,0,0
2023-05-21 03:13:17,7,11,0,0
2023-05-21 03:18:17,8,11,0,0
2023-05-21 03:23:17,8,11,0,0
2023-05-21 03:28:17,8,11,0,0
2023-05-21 03:33:17,8,11,0,0
2023-05-21 03:38:17,8,11,0,0
2023-05-21 03:43:17,8,11,0,0
2023-05-21 03:48:17,8,12,0,0
2023-05-21 03:53:17,8,12,0,0
2023-05-21 03:58:17,8,12,0,0
2023-05-21 04:03:17,8,12,0,0
2023-05-21 04:08:17,8,12,0,0
2023-05-21 04:13:17,8,12,0,0
2023-05-21 04:18:17,8,12,0,0
2023-05-21 04:23:17,8,12,0,0
2023-05-21 04:28:17,8,12,0,0
2023-05-21 04:33:17,8,12,0,0
2023-05-21 04:38:17,8,12,0,0
2023-05-21 04:43:17,8,12,0,0
2023-05-21 04:48:17,8,12,0,0
2023-05-21 04:53:17,8,12,0,0
2023-05-21 04:58:17,8,12,0,0
2023-05-21 05:03:17,8,12,0,0
2023-05-21 05:08:17,8,12,0,0
2023-05-21 05:13:17,8,12,0,0
2023-05-21 05:18:17,8,12,0,0
2023-05-21 05:23:17,8,12,0,0
2023-05-21 05:28:17,8,12,0,0
2023-05-21 05:33:17,8,12,0,0
2023-05-21 05:38:17,8,12,0,0
2023-05-21 05:43:17,8,12,0,0
2023-05-21 05:48:17,8,12,0,0
2023-05-21 05:53:17,8,12,0,0
2023-05-21 05:58:17,8,12,0,0
2023-05-21 06:03:17,8,12,0,0
2023-05-21 06:08:17,8,12,0,0
2023-05-21 06:13:17,8,12,0,0
2023-05-21 06:18:17,8,12,0,0
2023-05-21 06:23:17,8,12,0,0
2023-05-21 06:28:17,8,12,0,0
2023-05-21 06:33:17,8,12,0,0
2023-05-21 06:38:17,8,12,0,0
2023-05-21 06:43:17,8,12,0,0
2023-05-21 06:48:17,8,12,0,0
2023-05-21 06:53:17,8,12,0,0
2023-05-21 06:58:17,8,12,0,0
2023-05-21 07:03:17,8,12,0,0
2023-05-21 07:08:17,8,12,0,0
2023-05-21 07:13:17,8,12,0,0
2023-05-21 07:18:17,8,12,0,0
2023-05-21 07:23:17,8,12,0,0
2023-05-21 07:28:17,8,12,0,0
2023-05-21 07:33:17,8,12,0,0
2023-05-21 07:38:17,8,12,0,0
2023-05-21 07:43:17,8,12,0,0
2023-05-21 07:48:17,8,12,0,0
2023-05-21 07:53:17,8,12,0,0
2023-05-21 07:58:17,8,12,0,0
2023-05-21 08:03:17,8,12,0,0
2023-05-21 08:08:17,8,12,0,0
2023-05-21 08:13:17,8,12,0,0
2023-05-21 08:18:17,8,11,0,0
2023-05-21 08:23:17,8,11,0,0
2023-05-21 08:28:17,8,11,0,0
2023-05-21 08:33:17,8,11,0,0
2023-05-21 08:38:17,8,11,0,0
2023-05-21 08:43:17,8,11,0,0
2023-05-21 08:48:17,7,11,0,0
2023-05-21 08:53:17,7,11,0,0
2023-05-21 08:58:17,7,11,0,0
2023-05-21 09:03:17,7,11,0,0
2023-05-21 09:08:17,7,11,0,0
2023-05-21 09:13:17,7,10,0,0
2023-05-21 09:18:17,7,10,0,0
2023-05-21 09:23:17,7,10,0,0
2023-05-21 09:28:17,7,10,0,0
2023-05-21 09:33:17,7,10,0,0
2023-05-21 09:38:17,7,10,0,0
2023-05-21 09:43:17,7,10,0,0
2023-05-21 09:48:17,7,10,0,0
2023-05-21 09:53:17,7,10,0,0
2023-05-21 09:58:17,7,10,0,0
2023-05-21 10:03:17,6,9,0,0
2023-05-21 10:08:17,6,9,0,0
2023-05-21 10:13:17,6,9,0,0
2023-05-21 10:18:17,6,9,0,0
2023-05-21 10:23:17,6,9,0,0
2023-05-21 10:28:17,6,9,0,0
2023-05-21 10:33:17,6,9,0,0
2023-05-21 10:38:17,6,9,0,0
2023-05-21 10:43:17,6,8,0,0
2023-05-21 10:48:17,6,8,0,0
2023-05-21 10:53:17,6,8,0,0
2023-05-21 10:58:17,6,8,0,0
2023-05-21 11:03:17,5,8,0,0
2023-05-21 11:08:17,5,8,0,0
2023-05-21 11:13:17,5,8,0,0
2023-05-21 11:18:17,5,8,0,0
2023-05-21 11:23:17,5,7,0,0
2023-05-21 11:28:17,5,7,0,0
2023-05-21 11:33:17,5,7,0,0
2023-05-21 11:38:17,5,7,0,0
2023-05-21 11:43:17,5,7,0,0
2023-05-21 11:48:17,5,7,0,0
2023-05-21 11:53:17,5,7,0,0
2023-05-21 11:58:17,5,7,0,0
2023-05-21 12:03:17,4,6,0,0
2023-05-21 12:08:17,4,6,0,0
2023-05-21 12:13:17,4,6,0,0
2023-05-21 12:18:17,4,6,0,0
2023-05-21 12:23:17,4,6,0,0
2023-05-21 12:28:17,4,6,0,0
2023-05-21 12:33:17,4,6,0,0
2023-05-21 12:38:17,4,6,0,0
2023-05-21 12:43:17,4,5,0,0
2023-05-21 12:48:17,4,5,0,0
2023-05-21 12:53:17,4,5,0,0
2023-05-21 12:58:17,3,5,0,0
2023-05-21 13:03:17,3,5,0,0
2023-05-21 13:08:17,3,5,0,0
2023-05-21 13:13:17,3,5,0,0
2023-05-21 13:18:17,3,4,0,0
2023-05-21 13:23:17,3,4,0,0
2023-05-21 13:28:17,3,4,0,0
2023-05-21 13:33:17,3,4,0,0
2023-05-21 13:38:17,3,4,0,0
2023-05-21 13:43:17,3,4,0,0
2023-05-21 13:48:17,3,4,0,0
2023-05-21 13:53:17,3,4,0,0
2023-05-21 13:58:17,3,4,0,0
2023-05-21 14:03:17,2,3,0,0
2023-05-21 14:08:17,2,3,0,0
2023-05-21 14:13:17,2,3,0,0
2023-05-21 14:18:17,2,3,0,0
2023-05-21 14:23:17,2,3,0,0
2023-05-21 14:28:17,2,3,0,0
2023-05-21 14:33:17,2,3,0,0
2023-05-21 14:38:17,2,3,0,0
2023-05-21 14:43:17,2,3,0,0
2023-05-21 14:48:17,2,2,0,0
2023-05-21 14:53:17,2,2,0,0
2023-05-21 14:58:17,2,2,0,0
2023-05-21 15:03:17,2,2,0,0
2023-05-21 15:08:17,2,2,0,0
2023-05-21 15:13:17,2,2,0,0
2023-05-21 15:18:17,1,2,0,0
2023-05-21 15:23:17,1,2,0,0
2023-05-21 15:28:17,1,2,0,0
2023-05-21 15:33:17,1,2,0,0
2023-05-21 15:38:17,1,2,0,0
2023-05-21 15:43:17,1,2,0,0
2023-05-21 15:48:17,1,1,0,0
2023-05-21 15:53:17,1,1,0,0
2023-05-21 15:58:17,1,1,0,0
2023-05-21 16:03:17,1,1,0,0
2023-05-21 16:08:17,1,1,0,0
2023-05-21 16:13:17,1,1,0,0
2023-05-21 16:18:17,1,1,0,0
2023-05-21 16:23:17,1,1,0,0
2023-05-21 16:28:17,1,1,0,0
2023-05-21 16:33:17,1,1,0,0
2023-05-21 16:38:17,1,1,0,0
2023-05-21 16:43:17,1,1,0,0
2023-05-21 16:48:17,1,1,0,0
2023-05-21 16:53:17,1,1,0,0
2023-05-21 16:58:17,1,1,0,0
2023-05-21 17:03:17,1,1,0,0
2023-05-21 17:08:17,1,1,0,0
2023-05-21 17:13:17,1,1,0,0
2023-05-21 17:18:17,1,1,0,0
2023-05-21 17:23:17,1,1,0,0
2023-05-21 17:28:17,1,1,0,0
2023-05-21 17:33:17,1,1,0,0
2023-05-21 17:38:17,1,1,0,0
2023-05-21 17:43:17,1,1,0,0
2023-05-21 17:48:17,1,1,0,0
2023-05-21 17:53:17,1,1,0,0
2023-05-21 17:58:17,1,1,0,0
2023-05-21 18:03:17,1,1,0,0
2023-05-21 18:08:17,1,1,0,0
2023-05-21 18:13:17,1,1,0,0
2023-05-21 18:18:17,1,1,0,0
2023-05-21 18:23:17,1,1,0,0
2023-05-21 18:28:17,1,1,0,0
2023-05-21 18:33:17,1,1,0,0
2023-05-21 18:38:17,1,1,0,0
2023-05-21 18:43:17,1,1,0,0
2023-05-21 18:48:17,1,1,0,0
2023-05-21 18:53:17,1,1,0,0
2023-05-21 18:58:17,1,1,0,0
2023-05-21 19:03:17,1,1,0,0
2023-05-21 19:08:17,1,1,0,0
2023-05-21 19:13:17,1,1,0,0
2023-05-21 19:18:17,1,1,0,0
2023-05-21 19:23:17,1,1,0,0
2023-05-21 19:28:17,1,1,0,0
2023-05-21 19:33:17,1,1,0,0
2023-05-21 19:38:17,1,1,0,0
2023-05-21 19:43:17,1,1,0,0
2023-05-21 19:48:17,1,1,0,0
2023-05-21 19:53:17,1,1,0,0
2023-05-21 19:58:17,1,1,0,0
2023-05-21 20:03:17,1,1,0,0
2023-05-21 20:08:17,1,1,0,0
2023-05-21 20:13:17,1,1,0,0
2023-05-21 20:18:17,1,2,0,0
2023-05-21 20:23:17,1,2,0,0
2023-05-21 20:28:17,1,2,0,0
2023-05-21 20:33:17,1,2,0,0
2023-05-21 20:38:17,1,2,0,0
2023-05-21 20:43:17,1,2,0,0
2023-05-21 20:48:17,2,2,0,0
2023-05-21 20:53:17,2,2,0,0
2023-05-21 20:58:17,2,2,0,0
2023-05-21 21:03:17,2,2,0,0
2023-05-21 21:08:17,2,2,0,0
2023-05-21 21:13:17,2,3,0,0
2023-05-21 21:18:17,2,3,0,0
2023-05-21 21:23:17,2,3,0,0
2023-05-21 21:28:17,2,3,0,0
2023-05-21 21:33:17,2,3,0,0
2023-05-21 21:38:17,2,3,0,0
2023-05-21 21:43:17,2,3,0,0
2023-05-21 21:48:17,2,3,0,0
2023-05-21 21:53:17,2,3,0,0
2023-05-21 21:58:17,2,3,0,0
2023-05-21 22:03:17,3,4,0,0
2023-05-21 22:08:17,3,4,0,0
2023-05-21 22:13:17,3,4,0,0
2023-05-21 22:18:17,3,4,0,0
2023-05-21 22:23:17,3,4,0,0
2023-05-21 22:28:17,3,4,0,0
2023-05-21 22:33:17,3,4,0,0
2023-05-21 22:38:17,3,4,0,0
2023-05-21 22:43:17,3,5,0,0
2023-05-21 22:48:17,3,5,0,0
2023-05-21 22:53:17,3,5,0,0
2023-05-21 22:58:17,3,5,0,0
2023-05-21 23:03:17,4,5,0,0
2023-05-21 23:08:17,4,5,0,0
2023-05-21 23:13:17,4,5,0,0
2023-05-21 23:18:17,4,5,0,0
2023-05-21 23:23:17,4,6,0,0
2023-05-21 23:28:17,4,6,0,0
2023-05-21 23:33:17,4,6,0,0
2023-05-21 23:38:17,4,6,0,0
2023-05-21 23:43:17,4,6,0,0
2023-05-21 23:48:17,4,6,0,0
